Bowler, Economy Rate
Ben Dwarshuis, 5.95
Marnus Labuschagne, 8.20
Adam Zampa, 6.22
Glenn Maxwell, 6.62
Spencer Johnson, 6.06
Nathan Ellis, 5.55
