Pos,Team/Player,Matches,Innings,Runs,Balls Faced,Strike Rate,Highest Score
1,Glenn Maxwell,2,1,32,15,213.33,32*
2,Travis Head,2,2,65,45,144.44,59*
3,Josh Inglis,2,1,120,86,139.53,120*
4,Alex Carey,2,1,69,63,109.52,69
5,Marnus Labuschagne,2,1,47,45,104.44,47
6,Matthew Short,2,2,83,81,102.46,63
7,Steve Smith,2,2,24,28,85.71,19*
